time,eke_ice,eke_acc,ck_ice,ck_acc,wm_ice,wm_acc,we_ice,we_acc
1998-01-01,0.0029255708,0.0072222357,2.8659574713429947e-10,1.439483754417381e-09,0.0018018416594713926,0.006004868540912867,1.9905983208445832e-05,-7.649150211364031e-05
1998-02-01,0.0028338488,0.007265023,2.7057733831270525e-10,2.496612916402796e-10,0.0024468903429806232,0.005918767768889666,4.64802396891173e-05,5.287569365464151e-05
1998-03-01,0.0027214878,0.007593986,5.205093023263885e-10,5.424876103887755e-10,0.002424959558993578,0.005608930718153715,6.71416855766438e-05,5.6947319535538554e-05
1998-04-01,0.0030670208,0.007564186,3.8925623835339707e-10,2.391560005587934e-10,0.0041001178324222565,0.005612356122583151,0.000193761705304496,0.00012520675954874605
1998-05-01,0.0036597184,0.0074011046,6.296830834529032e-10,7.423536230177774e-10,0.001684960094280541,0.003620653646066785,5.051038533565588e-05,6.073342228773981e-05
1998-06-01,0.004096426,0.007221481,5.936647839988041e-10,4.4064665111198664e-11,0.0028705880977213383,0.005650917999446392,3.055613342439756e-05,6.0306661907816306e-05
1998-07-01,0.0043812105,0.0068489844,5.701796812473958e-10,5.849483120101695e-10,0.0032243409659713507,0.006595930550247431,9.369345207232982e-05,3.220288363081636e-06
1998-08-01,0.004639633,0.006852705,6.730156987266867e-10,3.2403671412772894e-10,0.0037592726293951273,0.006077144760638475,1.989369047805667e-05,3.144750735373236e-05
1998-09-01,0.0053763217,0.007138022,8.895256753405079e-10,4.251205221184051e-10,0.002651264425367117,0.00629368657246232,-6.417252006940544e-05,8.207812243199442e-06
1998-10-01,0.0051137703,0.007739695,1.1750962425338685e-09,6.7547883952912e-10,0.0021532317623496056,0.005438833963125944,-0.00013092269364278764,-3.994510188931599e-05
1998-11-01,0.0043237857,0.008071962,5.19006060351046e-10,6.331106749968285e-10,0.003596537047997117,0.005891133565455675,-9.79332035058178e-05,-1.800808786356356e-05
