,time,eke_ice,eke_acc,eke_full,tau_ice,tau_acc,taueff_ice,taueff_acc,w_ice,w_acc,weff_ice,sic_ice,aao,nino34,eke_ice_anom,eke_ice_std,eke_acc_anom,eke_acc_std,eke_full_anom,eke_full_std,tau_ice_anom,tau_ice_std,tau_acc_anom,tau_acc_std,taueff_ice_anom,taueff_ice_std,taueff_acc_anom,taueff_acc_std,w_ice_anom,w_ice_std,w_acc_anom,w_acc_std,weff_ice_anom,weff_ice_std,sic_ice_anom,sic_ice_std,aao_anom,aao_std,nino34_anom,nino34_std
30,1995-07-01,0.004788468,0.006841236,0.0062392317,0.051878333,0.06773494,0.025734954,0.06920286,9.09436e-05,0.00013185329,9.3523646e-05,0.40979907,-0.2171,27.08,3.8508326e-05,0.113534756,-0.001122904,-1.4614168,-0.00078587,-1.3571689,-0.0029195212,-0.28619125,-0.0032923743,-0.36187032,-0.010083031,-0.84250075,-0.003632553,-0.3883853,-2.7949864e-06,-0.033898167,3.6014986e-05,0.4260612,-4.797548e-07,-0.005803779,-0.0039343536,-0.19893883,-0.11384062499999997,-0.11391374891617544,-0.182500000000001,-0.20528469540862046
31,1995-08-01,0.0048943567,0.0067788092,0.006267883,0.04540632,0.066360734,0.026841812,0.06811715,4.9063703e-05,6.787223e-05,5.4120257e-05,0.46655503,0.5436,26.23,-0.00029267743,-0.8629054,-0.001101762,-1.4339013,-0.0008851937,-1.5286974,-0.015130024,-1.4831479,-0.0038320795,-0.4211902,-0.012349218,-1.031855,-0.00382749,-0.40922758,-3.0708485e-05,-0.37243864,2.1603712e-05,0.25557426,-2.4273937e-05,-0.2936497,0.008258104,0.41756707,0.580603125,0.5809760672097227,-0.5931250000000006,-0.6671752600780126
32,1995-09-01,0.0050065103,0.0072189234,0.006643739,0.0660789,0.08380399,0.04840103,0.08587716,-0.00014220487,-5.6895362e-05,-0.00014785047,0.4725677,-0.549,25.88,-0.00045781303,-1.3497772,-0.00092685316,-1.2062641,-0.00080795307,-1.3953055,0.0052954033,0.51909155,0.008407071,0.92403483,0.007889774,0.6592403,0.008615322,0.9211334,-0.00016434223,-1.9931754,-9.658457e-05,-1.142606,-0.00016985783,-2.054825,-0.00016736984,-0.00846308,-0.574625,-0.574994102245638,-0.8187500000000014,-0.9209690102236008
33,1995-10-01,0.0047593936,0.007509874,0.0067829825,0.059517976,0.054924525,0.042087603,0.056244276,-0.00013571754,-9.8786535e-05,-0.00013372765,0.43869972,0.075,25.84,-0.0006361804,-1.8756607,-0.0008000657,-1.0412551,-0.0007615974,-1.315251,-0.001419209,-0.13912041,-0.021896869,-2.4067206,-0.002199009,-0.18374108,-0.022366077,-2.3913367,-0.0001504077,-1.8241745,-0.00011376546,-1.3458579,-0.0001491947,-1.8048567,-0.015596092,-0.78860915,0.21981875,0.21995994746662315,-0.8434375000000003,-0.9487386864860669
34,1995-11-01,0.004254589,0.007080016,0.0062488043,0.057294168,0.07762084,0.044730287,0.07938348,-4.578336e-05,-0.00015802124,-4.629224e-05,0.36875665,-0.7233,25.6,-0.00063583674,-1.8746474,-0.0014516027,-1.8892057,-0.0012131636,-2.0950892,0.0057812,0.5667126,0.008363396,0.9192344,0.004872497,0.40712783,0.008652329,0.9250901,-7.728497e-05,-0.9373275,-0.00015778794,-1.8666486,-7.7830155e-05,-0.9415366,-0.00017037988,-0.0086152805,-0.8630625000000001,-0.8636168759963035,-1.0715624999999989,-1.2053445557468392
35,1995-12-01,0.0033603604,0.0066561825,0.0054946775,0.055441983,0.060698945,0.05141688,0.061998606,1.9520034e-05,-0.00010163255,1.882904e-05,0.22972931,-2.1271,25.65,-0.00041412772,-1.2209791,-0.0017680866,-2.3010974,-0.0012605703,-2.1769588,0.014437113,1.4152242,-0.0069359206,-0.76233846,0.016767312,1.4010146,-0.007047944,-0.75355214,-1.7246326e-05,-0.20916691,-0.00011415746,-1.3504952,-1.7734506e-05,-0.2145401,0.01419203,0.7176132,-1.8906870967741936,-1.8919015529033527,-0.9032258064516121,-1.0159914222609507
36,1996-01-01,0.0028167316,0.0067199906,0.0052003516,0.040257003,0.05751488,0.035561446,0.05870111,-4.162901e-05,-6.042878e-05,-4.0720086e-05,0.1166096,-1.2004,25.69,-0.00046599214,-1.3738918,-0.0017260732,-2.2464187,-0.0012171427,-2.101961,0.0021193996,0.20775807,-0.011762727,-1.2928606,0.0024895705,0.20801929,-0.012072127,-1.290728,-7.761387e-05,-0.9413165,-0.00012371312,-1.4635397,-7.7570716e-05,-0.93839806,0.018505104,0.9357018,-1.082325,-1.0830202161636024,-0.7553124999999987,-0.8496114876757388
37,1996-02-01,0.0029987774,0.0076503726,0.0057741646,0.039280772,0.051882576,0.03180036,0.05301594,-6.8252906e-05,-7.757257e-06,-6.431096e-05,0.057237916,0.1632,25.89,-0.00024501607,-0.72238463,-0.0011772439,-1.5321381,-0.0008043372,-1.3890611,-0.011157937,-1.0937768,-0.014914293,-1.6392545,-0.013638973,-1.1396221,-0.01540643,-1.647225,-0.00012800787,-1.552505,-0.000107679705,-1.2738626,-0.00012527384,-1.5154783,-0.0011147,-0.05636438,-0.022065625000000005,-0.022079798542290897,-0.770624999999999,-0.8668357172562567
38,1996-03-01,0.002796104,0.0073056216,0.005499439,0.058302786,0.06624448,0.052017927,0.06766401,-4.0215386e-05,9.0119414e-05,-3.7356967e-05,0.08387055,-1.4832,26.67,-0.00033636647,-0.9917145,-0.0012091431,-1.5736537,-0.000858604,-1.4827778,-0.00032408908,-0.031769317,-0.0019825548,-0.21790592,0.00078214705,0.0653533,-0.0022439584,-0.23991951,-0.00014890985,-1.8060083,-6.138648e-05,-0.7262088,-0.00014582984,-1.7641507,0.0054146126,0.27378723,-1.7733875000000001,-1.774526610391362,-0.5449999999999982,-0.6130419671106687
39,1996-04-01,0.003082566,0.0076508652,0.0059322678,0.05545986,0.06983963,0.044699103,0.07158525,-4.3123614e-06,0.00011261342,-6.2914955e-06,0.1701458,-1.5251,27.35,-0.00030412292,-0.89665025,-0.0008779932,-1.1426747,-0.0006470098,-1.1173624,-0.007416051,-0.7269717,-0.00047926605,-0.05267699,-0.006371267,-0.5323595,-0.00048997253,-0.05238679,-0.00013520286,-1.6397673,-7.939507e-05,-0.9392523,-0.0001358791,-1.6437736,0.015355706,0.776454,-1.620425,-1.6214658570918214,-0.39624999999999844,-0.4457208797570686
40,1996-05-01,0.0034115955,0.0074767075,0.006078686,0.060033195,0.081418075,0.04335429,0.08332197,0.00013490477,0.00023240138,0.00013422519,0.2764145,-0.2264,27.55,-0.0003096857,-0.9130511,-0.00080968393,-1.0537728,-0.0006049434,-1.0447152,0.0014933199,0.14638548,0.012714431,1.3974638,0.00060591847,0.05062829,0.012857571,1.3747063,2.6399794e-06,0.032018185,6.1280385e-05,0.72495365,3.4877448e-06,0.042192347,0.02516386,1.2723986,-0.2924375,-0.2926253430941201,-0.3143749999999983,-0.3536239787347085
41,1996-06-01,0.00366489,0.0077685867,0.006474276,0.05336861,0.05320806,0.03416729,0.0545175,1.7773018e-05,1.7592272e-05,1.4219139e-05,0.35452744,0.4967,27.29,-0.0006104887,-1.7999134,-0.00050645927,-0.6591374,-0.00052037043,-0.89866084,5.8569014e-05,0.005741433,-0.011166275,-1.2273036,0.00016782805,0.014023078,-0.011467874,-1.2261224,-6.8607966e-05,-0.8320911,-0.00010744805,-1.2711222,-7.125073e-05,-0.8619432,0.01443103,0.7296981,0.49458437499999997,0.4949020642816531,-0.40218750000000014,-0.4523996626556386
42,1996-07-01,0.004174661,0.007085203,0.0062411977,0.0635524,0.057645798,0.041051444,0.059194915,5.570787e-05,-8.6672924e-05,4.9520007e-05,0.41715068,0.7146,26.85,-0.0005752989,-1.6961628,-0.0008789366,-1.1439025,-0.000783904,-1.3537737,0.008754548,0.85818046,-0.013381518,-1.4707847,0.005233459,0.4372885,-0.013640501,-1.4584153,-3.8030714e-05,-0.46124408,-0.00018251123,-2.1591277,-4.4483393e-05,-0.53813004,0.0034172535,0.1727917,0.817859375,0.818384715407968,-0.41249999999999787,-0.4639996540057806
43,1996-08-01,0.0047650062,0.0068837265,0.006310258,0.05450754,0.06478361,0.02659458,0.066366985,-9.417012e-06,-3.3002732e-05,-1.7765044e-05,0.44882306,0.1247,26.64,-0.0004220279,-1.2442714,-0.0009968448,-1.2973555,-0.0008428185,-1.4555169,-0.006028805,-0.5909844,-0.0054092035,-0.5945345,-0.012596451,-1.0525128,-0.0055776536,-0.5963516,-8.91892e-05,-1.0817044,-7.927125e-05,-0.93778753,-9.615924e-05,-1.1632694,-0.00947386,-0.47904137,0.161703125,0.1618069927164484,-0.18312500000000043,-0.20598772518741648
